vector 1 "OBS_OpticalMonitor id:4" "Received Burst info" 1
vector 2 "OBS_OpticalMonitor id:4" "Received BCP info" 1
2 0 84 0 0
1 1.15 84 0 1750000
2 1.4000001 84 1 0
1 2.5500001 84 1 1750000
2 2.8000002 84 2 0
1 3.9500002 84 2 1750000
2 4.2000003 84 3 0
1 5.3500003 84 3 1750000
2 5.6000004 84 4 0
1 6.7500004 84 4 1750000
2 7.0000005 84 5 0
1 8.1500005 84 5 1750000
2 8.4000006 84 6 0
1 9.5500006 84 6 1750000
2 9.8000007 84 7 0
1 10.9500007 84 7 1750000
2 11.2000008 84 8 0
1 12.3500008 84 8 1750000
2 12.6000009 84 9 0
1 13.7500009 84 9 1750000
2 14.000001 84 10 0
1 15.150001 84 10 1750000
2 15.4000011 84 11 0
1 16.5500011 84 11 1750000
2 16.8000012 84 12 0
1 17.9500012 84 12 1750000
2 18.2000013 84 13 0
1 19.3500013 84 13 1750000
2 19.6000014 84 14 0
1 20.7500014 84 14 1750000
2 21.0000015 84 15 0
1 22.1500015 84 15 1750000
2 22.4000016 84 16 0
1 23.5500016 84 16 1750000
2 23.8000017 84 17 0
1 24.9500017 84 17 1750000
2 25.2000018 84 18 0
1 26.3500018 84 18 1750000
2 26.6000019 84 19 0
1 27.7500019 84 19 1750000
2 28.000002 84 20 0
1 29.150002 84 20 1750000
2 29.4000021 84 21 0
1 30.5500021 84 21 1750000
2 30.8000022 84 22 0
1 31.9500022 84 22 1750000
2 32.2000023 84 23 0
1 33.3500023 84 23 1750000
2 33.6000024 84 24 0
1 34.7500024 84 24 1750000
2 35.0000025 84 25 0
1 36.1500025 84 25 1750000
2 36.4000026 84 26 0
1 37.5500026 84 26 1750000
2 37.8000027 84 27 0
1 38.9500027 84 27 1750000
2 39.2000028 84 28 0
1 40.3500028 84 28 1750000
2 40.6000029 84 29 0
1 41.7500029 84 29 1750000
2 42.000003 84 30 0
1 43.150003 84 30 1750000
2 43.4000031 84 31 0
1 44.5500031 84 31 1750000
2 44.8000032 84 32 0
1 45.9500032 84 32 1750000
2 46.2000033 84 33 0
1 47.3500033 84 33 1750000
2 47.6000034 84 34 0
1 48.7500034 84 34 1750000
2 49.0000035 84 35 0
1 50.1500035 84 35 1750000
2 50.4000036 84 36 0
1 51.5500036 84 36 1750000
2 51.8000037 84 37 0
1 52.9500037 84 37 1750000
2 53.2000038 84 38 0
1 54.3500038 84 38 1750000
2 54.6000039 84 39 0
1 55.7500039 84 39 1750000
2 56.000004 84 40 0
1 57.150004 84 40 1750000
2 57.4000041 84 41 0
1 58.5500041 84 41 1750000
2 58.8000042 84 42 0
1 59.9500042 84 42 1750000
2 60.2000043 84 43 0
1 61.3500043 84 43 1750000
2 61.6000044 84 44 0
1 62.7500044 84 44 1750000
2 63.0000045 84 45 0
1 64.1500045 84 45 1750000
2 64.4000046 84 46 0
1 65.5500046 84 46 1750000
2 65.8000047 84 47 0
1 66.9500047 84 47 1750000
2 67.2000048 84 48 0
1 68.3500048 84 48 1750000
2 68.6000049 84 49 0
1 69.7500049 84 49 1750000
2 70.000005 84 50 0
1 71.150005 84 50 1750000
2 71.4000051 84 51 0
1 72.5500051 84 51 1750000
2 72.8000052 84 52 0
1 73.9500052 84 52 1750000
2 74.2000053 84 53 0
1 75.3500053 84 53 1750000
2 75.6000054 84 54 0
1 76.7500054 84 54 1750000
2 77.0000055 84 55 0
1 78.1500055 84 55 1750000
2 78.4000056 84 56 0
1 79.5500056 84 56 1750000
2 79.8000057 84 57 0
1 80.9500057 84 57 1750000
2 81.2000058 84 58 0
1 82.3500058 84 58 1750000
2 82.6000059 84 59 0
1 83.7500059 84 59 1750000
2 84.000006 84 60 0
1 85.150006 84 60 1750000
2 85.4000061 84 61 0
1 86.5500061 84 61 1750000
2 86.8000062 84 62 0
1 87.9500062 84 62 1750000
2 88.2000063 84 63 0
1 89.3500063 84 63 1750000
2 89.6000064 84 64 0
1 90.7500064 84 64 1750000
2 91.0000065 84 65 0
1 92.1500065 84 65 1750000
2 92.4000066 84 66 0
1 93.5500066 84 66 1750000
2 93.8000067 84 67 0
1 94.9500067 84 67 1750000
2 95.2000068 84 68 0
1 96.3500068 84 68 1750000
2 96.6000069 84 69 0
1 97.7500069 84 69 1750000
2 98.000007 84 70 0
1 99.150007 84 70 1750000
2 99.4000071 84 71 0
1 100.5500071 84 71 1750000
2 100.8000072 84 72 0
1 101.9500072 84 72 1750000
2 102.2000073 84 73 0
1 103.3500073 84 73 1750000
2 103.6000074 84 74 0
1 104.7500074 84 74 1750000
2 105.0000075 84 75 0
1 106.1500075 84 75 1750000
2 106.4000076 84 76 0
1 107.5500076 84 76 1750000
2 107.8000077 84 77 0
1 108.9500077 84 77 1750000
2 109.2000078 84 78 0
1 110.3500078 84 78 1750000
2 110.6000079 84 79 0
1 111.7500079 84 79 1750000
2 112.000008 84 80 0
1 113.150008 84 80 1750000
2 113.4000081 84 81 0
1 114.5500081 84 81 1750000
2 114.8000082 84 82 0
1 115.9500082 84 82 1750000
2 116.2000083 84 83 0
1 117.3500083 84 83 1750000
2 117.6000084 84 84 0
1 118.7500084 84 84 1750000
2 119.0000085 84 85 0
1 120.1500085 84 85 1750000
2 120.4000086 84 86 0
1 121.5500086 84 86 1750000
2 121.8000087 84 87 0
1 122.9500087 84 87 1750000
